Optativa,Pré-requisitos
Administração de Sistemas,Redes de Computadores; Sistemas Operacionais
Administração de Sistemas Gerenciadores de Bancos de Dados,Banco de Dados I
Algoritmos Avançados I,Programação I; Laboratório de Programação I
Algoritmos Avançados II,Programação I; Laboratório de Programação I
Algoritmos Avançados III,Programação I; Laboratório de Programação I
Algoritmos Avançados IV,Programação I; Laboratório de Programação I
Arquitetura de Software,Projeto de Software
Avaliação de Desempenho de Sistemas Discretos,Introdução à Probabilidade
Banco de Dados II,Banco de Dados I
Ciência de Dados Descritiva,Estatística Aplicada
Ciência de Dados Preditiva,Estatística Aplicada
Computação e Música,Estruturas de Dados e Algoritmos
Computação Gráfica,Cálculo Diferencial e Integral I; Álgebra Linear I; Estruturas de Dados e Algoritmos
Desenvolvimento de Software Integrado à Operação da Infraestrutura,Banco de Dados I; Projeto de Software
Economia de Tecnologia da Informação,Introdução à Probabilidade
Empreendedorismo e Inovação,Engenharia de Software
Gerência de Redes,Redes de Computadores
Gestão de Projetos,Engenharia de Software
Governança da Internet,Redes de Computadores
Habilidades Socioemocionais I,-
Habilidades Socioemocionais II,-
Informática e Sociedade,-
Inglês,-
Interconexão de Redes de Computadores,Redes de Computadores; Sistemas Operacionais
Interface Humano-Computador,Estruturas de Dados e Algoritmos
Jogos Digitais,-
Libras,-
Métodos e Software Numéricos,Álgebra Linear I; Cálculo Diferencial e Integral II
Métodos Formais,-
Otimização,Álgebra Linear I; Cálculo Diferencial e Integral II
Percepção Computacional,Álgebra Linear I; Cálculo Diferencial e Integral II; Introdução à Probabilidade
Prática de Ensino em Computação I,-
Prática de Ensino em Computação II,Prática de Ensino em Computação I
Processamento de Linguagem Natural,Fundamentos de Matemática para Ciência da Computação II; Estruturas de Dados e Algoritmos; Laboratório de Estruturas de Dados e Algoritmos
Programação em Banco de Dados,Banco de Dados I
Programação Funcional,Paradigmas de Linguagens de Programação
Programação para a Web I,Estruturas de Dados e Algoritmos; Laboratório de Estruturas de Dados e Algoritmos
Programação para a Web II,Programação para a Web I
Projeto de Redes de Computadores,Interconexão de Redes de Computadores
Projeto de Sistemas Digitais,Organização e Arquitetura de Computadores
Provisionamento e Operação de Infraestrutura,Redes de Computadores; Sistemas Operacionais
Reconhecimento de Padrões e Redes Neurais,Estatística Aplicada; Inteligência Artificial
Recuperação da Informação e Busca na Web,Banco de Dados I
Segurança de Sistemas,Redes de Computadores; Sistemas Operacionais
Sistemas de Apoio à Decisão,Banco de Dados I
Sistemas de Informações Geográficas,Banco de Dados I
Sistemas Distribuídos,Redes de Computadores; Sistemas Operacionais
Transformação Digital,-
Verificação e Validação de Software,Engenharia de Software
Visualização de Dados,Banco de Dados I; Estatística Aplicada
